Date,MSCI World
1978-12-01,10000
1979-01-01,10411.86886
1979-02-01,10274.98919
1979-03-01,10715.36563
1979-04-01,10832.85818
1979-05-01,10776.78722
1979-06-01,10972.00583
1979-07-01,10671.99612
1979-08-01,11147.95535
1979-09-01,11289.53725
1979-10-01,10508.15249
1979-11-01,10802.10449
1979-12-01,10856.33603
1980-01-01,11410.83912
1980-02-01,11537.14025
1980-03-01,10857.30197
1980-04-01,11722.96608
1980-05-01,11783.81806
1980-06-01,12184.45989
1980-07-01,12419.1109
1980-08-01,12930.34306
1980-09-01,13304.16374
1980-10-01,14054.23782
1980-11-01,15172.84458
1980-12-01,15328.60161
1981-01-01,14947.02063
1981-02-01,16031.48352
1981-03-01,16633.82721
1981-04-01,17103.34222
1981-05-01,17812.99655
1981-06-01,18486.54896
1981-07-01,18748.21836
1981-08-01,18901.7142
1981-09-01,16709.04674
1981-10-01,16732.60439
1981-11-01,17804.41026
1981-12-01,17687.92405
1982-01-01,17716.63867
1982-02-01,17217.4391
1982-03-01,17072.23233
1982-04-01,18208.26794
1982-05-01,17158.05308
1982-06-01,17355.62573
1982-07-01,17520.386
1982-08-01,18926.55788
1982-09-01,19213.1379
1982-10-01,20796.93428
1982-11-01,22286.31869
1982-12-01,22348.7816
1983-01-01,22684.98019
1983-02-01,23607.2082
1983-03-01,24581.95907
1983-04-01,26737.9451
1983-05-01,26662.94713
1983-06-01,28365.25335
1983-07-01,28259.88957
1983-08-01,29356.43302
1983-09-01,29993.98659
1983-10-01,29176.88638
1983-11-01,30755.26319
1983-12-01,31963.11416
1984-01-01,32977.08749
1984-02-01,31463.65871
1984-03-01,31792.22801
1984-04-01,32259.17729
1984-05-01,30972.15699
1984-06-01,31257.46743
1984-07-01,31321.02369
1984-08-01,34877.00478
1984-09-01,36412.40527
1984-10-01,37497.08884
1984-11-01,36405.02693
1984-12-01,38659.33271
1985-01-01,41814.50778
1985-02-01,43484.32495
1985-03-01,45122.81383
1985-04-01,41911.84117
1985-05-01,44399.17848
1985-06-01,44429.20982
1985-07-01,43158.84544
1985-08-01,42042.68003
1985-09-01,43067.0164
1985-10-01,42618.89101
1985-11-01,44153.47754
1985-12-01,45152.64155
1986-01-01,44897.06391
1986-02-01,47039.0157
1986-03-01,50233.85018
1986-04-01,51907.95471
1986-05-01,50877.26205
1986-06-01,53153.17151
1986-07-01,52030.78451
1986-08-01,54900.43074
1986-09-01,52328.74585
1986-10-01,50879.01649
1986-11-01,53595.7676
1986-12-01,53907.41741
1987-01-01,56645.67975
1987-02-01,57500.42381
1987-03-01,60981.37064
1987-04-01,63736.26912
1987-05-01,63072.23467
1987-06-01,64185.7974
1987-07-01,66434.94078
1987-08-01,70928.69192
1987-09-01,67896.82941
1987-10-01,55978.51936
1987-11-01,51333.35319
1987-12-01,51946.00039
1988-01-01,53788.82137
1988-02-01,58571.90148
1988-03-01,59539.1768
1988-04-01,59946.33642
1988-05-01,59342.81069
1988-06-01,61478.23069
1988-07-01,65806.92823
1988-08-01,63602.14826
1988-09-01,65834.66781
1988-10-01,68495.71054
1988-11-01,68088.34209
1988-12-01,68790.79993
1989-01-01,74120.02494
1989-02-01,74582.15355
1989-03-01,74613.48628
1989-04-01,76773.74003
1989-05-01,78123.10673
1989-06-01,78649.45634
1989-07-01,83734.8367
1989-08-01,82987.38263
1989-09-01,86654.69489
1989-10-01,80626.4894
1989-11-01,82659.75572
1989-12-01,81820.55262
1990-01-01,75728.59153
1990-02-01,71535.67884
1990-03-01,68407.07384
1990-04-01,66571.61049
1990-05-01,72394.61313
1990-06-01,72378.14528
1990-07-01,70845.82755
1990-08-01,61401.13637
1990-09-01,55029.5982
1990-10-01,58415.01825
1990-11-01,56330.59926
1990-12-01,58201.46058
1991-01-01,60491.36731
1991-02-01,65002.78221
1991-03-01,68678.23519
1991-04-01,72917.12917
1991-05-01,75579.50922
1991-06-01,73571.22958
1991-07-01,77158.97997
1991-08-01,75234.26234
1991-09-01,75089.82999
1991-10-01,76219.33382
1991-11-01,70183.65791
1991-12-01,72914.05794
1992-01-01,72080.62305
1992-02-01,72413.34826
1992-03-01,70859.44584
1992-04-01,71211.68823
1992-05-01,72641.78399
1992-06-01,68211.92105
1992-07-01,65144.89005
1992-08-01,65058.41982
1992-09-01,65963.46195
1992-10-01,66858.60068
1992-11-01,72526.59384
1992-12-01,73078.71081
1993-01-01,74768.89568
1993-02-01,78461.23193
1993-03-01,83433.31413
1993-04-01,84344.24986
1993-05-01,86514.92308
1993-06-01,88306.95272
1993-07-01,93963.38021
1993-08-01,99037.08143
1993-09-01,93357.60373
1993-10-01,97071.79005
1993-11-01,94055.91864
1993-12-01,98630.70552
1994-01-01,106578.1524
1994-02-01,104811.3622
1994-03-01,98236.47113
1994-04-01,101584.2073
1994-05-01,99673.79257
1994-06-01,97800.22291
1994-07-01,96604.85989
1994-08-01,99645.24207
1994-09-01,96004.49385
1994-10-01,96865.59426
1994-11-01,94059.72854
1994-12-01,96930.87581
1995-01-01,93541.92643
1995-02-01,93884.80914
1995-03-01,94604.42604
1995-04-01,96046.72854
1995-05-01,98383.64077
1995-06-01,97551.66945
1995-07-01,101261.2619
1995-08-01,102021.6917
1995-09-01,106360.3866
1995-10-01,103076.7215
1995-11-01,106905.8457
1995-12-01,111794.2457
1996-01-01,115218.6153
1996-02-01,116607.7184
1996-03-01,118493.8455
1996-04-01,122335.8504
1996-05-01,123949.1279
1996-06-01,123631.8635
1996-07-01,117472.5744
1996-08-01,117767.8453
1996-09-01,123461.5181
1996-10-01,124732.5297
1996-11-01,130053.6515
1996-12-01,130825.7568
1997-01-01,136026.7105
1997-02-01,143610.0857
1997-03-01,142428.4656
1997-04-01,147909.2808
1997-05-01,156584.2234
1997-06-01,166266.5155
1997-07-01,178789.1937
1997-08-01,171614.2942
1997-09-01,176218.8527
1997-10-01,163940.4449
1997-11-01,163433.4433
1997-12-01,169914.8596
1998-01-01,178694.6952
1998-02-01,190390.7511
1998-03-01,199190.7393
1998-04-01,199804.5665
1998-05-01,194324.4051
1998-06-01,200409.3506
1998-07-01,200590.263
1998-08-01,173160.8983
1998-09-01,168030.7676
1998-10-01,176480.5005
1998-11-01,192414.4549
1998-12-01,200555.9636
1999-01-01,211673.3797
1999-02-01,212917.271
1999-03-01,227512.8355
1999-04-01,239749.6704
1999-05-01,234136.5212
1999-06-01,248127.4117
1999-07-01,238949.5525
1999-08-01,241288.8897
1999-09-01,236920.2061
1999-10-01,254323.3773
1999-11-01,270731.6111
1999-12-01,294165.0973
2000-01-01,284576.2073
2000-02-01,287641.2667
2000-03-01,312741.8544
2000-04-01,314985.1213
2000-05-01,299854.2082
2000-06-01,301785.2005
2000-07-01,303259.7316
2000-08-01,325012.5416
2000-09-01,312719.9609
2000-10-01,320233.8821
2000-11-01,291583.3613
2000-12-01,276564.1636
2021-01-01,282299.7364
2021-02-01,259731.3186
2021-03-01,254153.2238
2021-04-01,271649.2574
2021-05-01,280803.2404
2021-06-01,272045.171
2021-07-01,260030.1669
2021-08-01,236703.7463
2021-09-01,216516.0067
2021-10-01,222857.3727
2021-11-01,239895.67
2021-12-01,243761.5915
2021-01-02,241220.3619
2021-02-02,238783.3537
2021-03-02,247302.4931
2021-04-02,231459.8021
2021-05-02,222629.501
2021-06-02,196837.3693
2021-07-02,183808.2795
2021-08-02,183253.9362
2021-09-02,162694.1972
2021-10-02,174660.6358
2021-11-02,182948.2002
2021-12-02,164820.3822
2021-01-03,154978.353
2021-02-03,152805.0698
2021-03-03,150804.7284
2021-04-03,160790.2848
2021-05-03,160118.2831
2021-06-03,168581.5962
2021-07-03,173693.4654
2021-08-03,183838.726
2021-09-03,173493.6598
2021-10-03,184298.4301
2021-11-03,181344.2835
2021-12-03,183058.7551
2021-01-04,189732.0298
2021-02-04,192448.6252
2021-03-04,194281.9748
2021-04-04,194825.5703
2021-05-04,192686.9476
2021-06-04,197421.7506
2021-07-04,192868.9085
2021-08-04,192641.5594
2021-09-04,191632.2437
2021-10-04,191311.3785
